app_id,feature,variant_likelihood,suggestion
app-Y1.1-6-6,deleted,0.5,
app-Y1.1-6-6,subst,0.5,
app-Y1.1-12-12,deleted,0.5,
app-Y1.1-12-12,subst,0.5,
app-Y1.1-13-13,deleted,0.5,
app-Y1.1-16-16,deleted,0.5,
app-Y1.1-16-16,xraōžδištaheca→xraōždištaheca,0.5,
app-Y1.1-18-18,deleted,0.5,
app-Y1.1-18-18,hukərəftəmaheca→hukərəptəmaheca,0.5,
app-Y1.1-20-20,deleted,0.5,
app-Y1.1-20-20,subst,0.5,
app-Y1.1-20-22,subst,0.5,
app-Y1.1-20-22,deleted,0.5,
app-Y1.1-20-22,subst,0.5,
app-Y1.1-20-22,subst,0.5,
app-Y1.1-24-24,deleted,0.5,
app-Y1.1-25-25,deleted,0.5,
app-Y1.1-25-25,dada→daδa,0.5,
app-Y1.1-31-32,subst,0.5,
app-Y1.1-31-32,deleted,0.5,
app-Y1.1-32-32,deleted,0.5,
app-Y1.2-0-0,deleted,0.5,
app-Y1.2-0-0,subst,0.5,
app-Y1.2-5-5,deleted,0.5,
app-Y1.2-5-5,subst,0.5,
app-Y1.2-6-6,deleted,0.5,
app-Y1.2-6-6,xšatrāi→xšaϑrāi,0.5,
app-Y1.2-9-9,deleted,0.5,
app-Y1.2-9-9,subst,0.5,
app-Y1.2-9-10,subst,0.5,
app-Y1.2-9-10,deleted,0.5,
app-Y1.2-9-10,subst,0.5,
app-Y1.2-13-13,deleted,0.5,
app-Y1.2-13-13,gašne→tašne,0.5,
app-Y1.2-16-16,deleted,0.5,
app-Y1.2-16-16,ātre→āϑre,0.5,
app-Y1.2-18-19,deleted,0.5,
app-Y1.2-18-19,subst,0.5,
app-Y1.2-19-19,deleted,0.5,
app-Y1.2-19-19,yaētuštimāi→yaētuštəmāi,0.5,
app-Y1.3-0-0,deleted,0.5,
app-Y1.3-1-2,deleted,0.5,
app-Y1.3-1-2,subst,0.5,
app-Y1.3-2-2,deleted,0.5,
app-Y1.3-11-11,deleted,0.5,
app-Y1.3-11-11,subst,0.5,
app-Y1.3-16-16,ńiuuaēδaiiami→ńiuuaēδaiiemi,0.5,
app-Y1.3-16-16,deleted,0.5,
app-Y1.3-16-16,subst,0.5,
app-Y1.3-19-19,deleted,0.5,
app-Y1.3-19-19,subst,0.5,
app-Y1.3-19-20,deleted,0.5,
app-Y1.3-19-20,subst,0.5,
app-Y1.3-20-20,deleted,0.5,
app-Y1.3-20-20,subst,0.5,
app-Y1.3-22-22,subst,0.5,
app-Y1.3-22-22,deleted,0.5,
app-Y1.3-22-22,subst,0.5,
app-Y1.4-3-3,subst,0.5,
app-Y1.4-3-3,deleted,0.5,
app-Y1.4-3-3,subst,0.5,
app-Y1.4-9-9,deleted,0.5,
app-Y1.4-9-9,subst,0.5,
app-Y1.4-10-10,deleted,0.5,
app-Y1.4-10-10,subst,0.5,
app-Y1.4-12-12,deleted,0.5,
app-Y1.4-18-18,deleted,0.5,
app-Y1.4-18-18,ātrasca→āϑrasca,0.5,
app-Y1.4-20-20,deleted,0.5,
app-Y1.5-2-2,subst,0.5,
app-Y1.5-2-2,deleted,0.5,
app-Y1.5-2-2,uzaiieirənāi→uzaiieirināi,0.5,
app-Y1.5-16-16,deleted,0.5,
app-Y1.5-16-16,subst,0.5,
app-Y1.5-18-18,deleted,0.5,
app-Y1.5-18-18,subst,0.5,
app-Y1.6-2-2,deleted,0.5,
app-Y1.6-2-2,subst,0.5,
app-Y1.6-2-3,subst,0.5,
app-Y1.6-2-3,deleted,0.5,
app-Y1.6-2-3,subst,0.5,
app-Y1.6-5-5,subst,0.5,
app-Y1.6-5-5,deleted,0.5,
app-Y1.6-9-10,subst,0.5,
app-Y1.6-9-10,deleted,0.5,
app-Y1.6-9-10,subst,0.5,
app-Y1.6-10-10,zaraϑuštrōtimāica→zaraϑuštrō.təmāica,0.5,
app-Y1.6-10-10,deleted,0.5,
app-Y1.6-16-16,subst,0.5,
app-Y1.6-16-16,deleted,0.5,
app-Y1.6-16-16,subst,0.5,
app-Y1.6-16-19,deleted,0.5,
app-Y1.6-16-19,subst,0.5,
app-Y1.6-17-17,deleted,0.5,
app-Y1.6-17-17,frauuašanąm→frauuaṣ̌inąm,0.5,
app-Y1.6-19-19,deleted,0.5,
app-Y1.6-19-19,subst,0.5,
app-Y1.6-20-20,deleted,0.5,
app-Y1.6-20-20,yāiriiaiiusca→yāiriiaiiā̊sca,0.5,
app-Y1.6-24-24,deleted,0.5,
app-Y1.6-24-24,subst,0.5,
app-Y1.6-27-27,subst,0.5,
app-Y1.6-27-27,deleted,0.5,
app-Y1.6-27-27,subst,0.5,
app-Y1.7-2-2,deleted,0.5,
app-Y1.7-2-2,subst,0.5,
app-Y1.7-3-3,deleted,0.5,
app-Y1.7-3-3,subst,0.5,
app-Y1.7-6-6,deleted,0.5,
app-Y1.7-6-6,subst,0.5,
app-Y1.7-8-8,deleted,0.5,
app-Y1.7-8-8,subst,0.5,
app-Y1.7-9-9,deleted,0.5,
app-Y1.7-11-11,deleted,0.5,
app-Y1.7-11-11,subst,0.5,
app-Y1.7-15-18,deleted,0.5,
app-Y1.7-15-18,subst,0.5,
app-Y1.7-16-16,deleted,0.5,
app-Y1.7-16-16,subst,0.5,
app-Y1.7-16-17,deleted,0.5,
app-Y1.7-16-17,subst,0.5,
app-Y1.7-20-20,deleted,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-20-20,subst,0.5,
app-Y1.7-22-22,deleted,0.5,
app-Y1.7-22-22,subst,0.5,
app-Y1.7-22-24,deleted,0.5,
app-Y1.7-22-24,subst,0.5,
app-Y1.7-24-24,subst,0.5,
app-Y1.7-24-24,deleted,0.5,
app-Y1.7-24-24,vərədat̰.gaēϑaiiā̊→varədat̰.gaēϑaiiā̊,0.5,
app-Y1.8-2-2,deleted,0.5,
app-Y1.8-2-2,subst,0.5,
app-Y1.8-3-3,deleted,0.5,
app-Y1.8-3-3,subst,0.5,
app-Y1.8-5-5,deleted,0.5,
app-Y1.8-5-5,subst,0.5,
app-Y1.8-11-11,deleted,0.5,
app-Y1.9-2-2,subst,0.5,
app-Y1.9-2-2,deleted,0.5,
app-Y1.9-2-2,subst,0.5,
app-Y1.9-3-3,deleted,0.5,
app-Y1.9-3-3,subst,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-5-5,deleted,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-5-5,subst,0.5,
app-Y1.9-7-7,deleted,0.5,
app-Y1.9-11-11,deleted,0.5,
app-Y1.9-11-11,subst,0.5,
app-Y1.9-12-12,deleted,0.5,
app-Y1.9-12-12,subst,0.5,
app-Y1.9-14-14,deleted,0.5,
app-Y1.9-14-14,subst,0.5,
app-Y1.9-17-17,deleted,0.5,
app-Y1.9-17-17,subst,0.5,
app-Y1.9-23-23,deleted,0.5,
app-Y1.9-23-23,subst,0.5,
app-Y1.9-23-24,deleted,0.5,
app-Y1.9-23-24,subst,0.5,
app-Y1.9-24-25,deleted,0.5,
app-Y1.9-24-25,subst,0.5,
app-Y1.9-25-25,deleted,0.5,
app-Y1.9-25-25,subst,0.5,
app-Y1.9-31-31,subst,0.5,
app-Y1.9-31-31,deleted,0.5,
app-Y1.9-31-31,subst,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-37-37,deleted,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-37-37,subst,0.5,
app-Y1.9-44-44,deleted,0.5,
app-Y1.9-44-44,subst,0.5,
app-Y1.9-45-45,deleted,0.5,
app-Y1.9-45-45,subst,0.5,
app-Y1.10-1-2,deleted,0.5,
app-Y1.10-1-2,subst,0.5,
app-Y1.10-3-3,deleted,0.5,
app-Y1.10-3-3,subst,0.5,
app-Y1.10-6-6,deleted,0.5,
app-Y1.10-6-6,haṇti→həṇti,0.5,
app-Y1.10-9-9,deleted,0.5,
app-Y1.10-9-9,ϑrəiiasca→ϑraiiasca,0.5,
app-Y1.10-11-12,deleted,0.5,
app-Y1.10-11-12,subst,0.5,
app-Y1.10-12-12,deleted,0.5,
app-Y1.10-12-12,subst,0.5,
app-Y1.10-14-15,deleted,0.5,
app-Y1.10-14-15,subst,0.5,
app-Y1.10-18-18,deleted,0.5,
app-Y1.10-18-18,subst,0.5,
app-Y1.10-18-18,subst,0.5,
app-Y1.11-0-0,deleted,0.5,
app-Y1.11-0-0,subst,0.5,
app-Y1.11-1-1,deleted,0.5,
app-Y1.11-1-1,subst,0.5,
app-Y1.11-2-2,deleted,0.5,
app-Y1.11-2-2,subst,0.5,
app-Y1.11-3-5,deleted,0.5,
app-Y1.11-3-5,subst,0.5,
app-Y1.11-4-4,deleted,0.5,
app-Y1.11-4-4,bərəzəṇbiia→bərəzaṇbiia,0.5,
app-Y1.11-4-5,deleted,0.5,
app-Y1.11-4-5,subst,0.5,
app-Y1.11-6-8,deleted,0.5,
app-Y1.11-6-8,subst,0.5,
app-Y1.11-8-8,subst,0.5,
app-Y1.11-8-8,deleted,0.5,
app-Y1.11-8-8,subst,0.5,
app-Y1.11-10-10,deleted,0.5,
app-Y1.11-10-10,subst,0.5,
app-Y1.11-13-13,deleted,0.5,
app-Y1.11-13-13,subst,0.5,
app-Y1.11-16-16,deleted,0.5,
app-Y1.11-19-19,deleted,0.5,
app-Y1.11-19-19,subst,0.5,
app-Y1.11-23-23,deleted,0.5,
app-Y1.11-23-23,subst,0.5,
app-Y1.11-24-24,deleted,0.5,
app-Y1.11-24-24,subst,0.5,
app-Y1.12-1-1,deleted,0.5,
app-Y1.13-2-2,deleted,0.5,
app-Y1.13-2-2,subst,0.5,
app-Y1.13-8-8,deleted,0.5,
app-Y1.13-8-8,subst,0.5,
app-Y1.13-11-11,deleted,0.5,
app-Y1.13-11-11,subst,0.5,
app-Y1.13-12-13,deleted,0.5,
app-Y1.13-12-13,subst,0.5,
app-Y1.13-13-13,deleted,0.5,
app-Y1.13-13-13,subst,0.5,
app-Y1.13-13-14,subst,0.5,
app-Y1.13-13-14,deleted,0.5,
app-Y1.13-13-14,subst,0.5,
app-Y1.13-17-17,deleted,0.5,
app-Y1.13-17-17,subst,0.5,
app-Y1.13-18-19,deleted,0.5,
app-Y1.13-18-19,subst,0.5,
app-Y1.13-19-19,deleted,0.5,
app-Y1.14-5-5,subst,0.5,
app-Y1.14-5-5,deleted,0.5,
app-Y1.14-5-5,subst,0.5,
app-Y1.14-5-5,subst,0.5,
app-Y1.14-8-8,deleted,0.5,
app-Y1.14-14-14,deleted,0.5,
app-Y1.14-14-14,subst,0.5,
app-Y1.15-2-2,subst,0.5,
app-Y1.15-2-2,deleted,0.5,
app-Y1.15-2-2,subst,0.5,
app-Y1.15-3-3,deleted,0.5,
app-Y1.15-3-3,subst,0.5,
app-Y1.15-4-5,deleted,0.5,
app-Y1.15-4-5,subst,0.5,
app-Y1.15-5-5,deleted,0.5,
app-Y1.15-5-5,subst,0.5,
app-Y1.15-7-8,deleted,0.5,
app-Y1.15-7-8,subst,0.5,
app-Y1.15-8-8,deleted,0.5,
app-Y1.15-8-8,subst,0.5,
app-Y1.15-8-9,deleted,0.5,
app-Y1.15-8-9,subst,0.5,
app-Y1.15-10-10,deleted,0.5,
app-Y1.15-10-10,subst,0.5,
app-Y1.15-12-12,deleted,0.5,
app-Y1.15-12-12,subst,0.5,
app-Y1.15-15-15,deleted,0.5,
app-Y1.15-15-15,subst,0.5,
app-Y1.15-17-17,deleted,0.5,
app-Y1.15-17-17,subst,0.5,
app-Y1.15-19-19,deleted,0.5,
app-Y1.15-19-19,deleted,0.5,
app-Y1.15-19-19,subst,0.5,
app-Y1.15-19-20,deleted,0.5,
app-Y1.15-19-20,subst,0.5,
app-Y1.15-24-24,deleted,0.5,
app-Y1.15-24-24,subst,0.5,
app-Y1.15-27-27,deleted,0.5,
app-Y1.15-27-27,subst,0.5,
app-Y1.15-27-28,deleted,0.5,
app-Y1.15-27-28,subst,0.5,
app-Y1.16-0-0,deleted,0.5,
app-Y1.16-0-0,subst,0.5,
app-Y1.16-2-2,deleted,0.5,
app-Y1.16-2-2,subst,0.5,
app-Y1.16-2-3,deleted,0.5,
app-Y1.16-2-3,subst,0.5,
app-Y1.16-5-5,subst,0.5,
app-Y1.16-5-5,deleted,0.5,
app-Y1.16-5-5,subst,0.5,
app-Y1.16-10-10,deleted,0.5,
app-Y1.16-10-10,subst,0.5,
app-Y1.17-0-0,deleted,0.5,
app-Y1.17-0-0,subst,0.5,
app-Y1.17-1-1,deleted,0.5,
app-Y1.17-1-1,subst,0.5,
app-Y1.17-3-3,deleted,0.5,
app-Y1.17-3-3,subst,0.5,
app-Y1.17-4-4,deleted,0.5,
app-Y1.17-4-4,subst,0.5,
app-Y1.17-5-5,subst,0.5,
app-Y1.17-5-5,deleted,0.5,
app-Y1.17-5-5,gaōiiaōitanąmca→gaōiiaōitinąmca,0.5,
app-Y1.17-7-7,deleted,0.5,
app-Y1.17-7-7,subst,0.5,
app-Y1.17-10-10,deleted,0.5,
app-Y1.17-10-10,subst,0.5,
app-Y1.17-11-11,deleted,0.5,
app-Y1.17-11-11,subst,0.5,
app-Y1.17-13-13,subst,0.5,
app-Y1.17-13-13,deleted,0.5,
app-Y1.17-13-13,subst,0.5,
app-Y1.17-13-14,deleted,0.5,
app-Y1.17-14-14,deleted,0.5,
app-Y1.17-14-14,subst,0.5,
app-Y1.17-19-19,deleted,0.5,
app-Y1.17-19-19,hīrō→hūrō,0.5,
app-Y1.17-19-19,subst,0.5,
app-Y1.17-24-25,deleted,0.5,
app-Y1.17-24-25,subst,0.5,
app-Y1.17-25-25,deleted,0.5,
app-Y1.17-25-25,subst,0.5,
app-Y1.17-28-28,deleted,0.5,
app-Y1.17-28-28,subst,0.5,
app-Y1.17-30-30,deleted,0.5,
app-Y1.18-1-3,deleted,0.5,
app-Y1.18-1-3,subst,0.5,
app-Y1.18-5-5,deleted,0.5,
app-Y1.18-5-5,subst,0.5,
app-Y1.18-6-6,deleted,0.5,
app-Y1.18-6-6,subst,0.5,
app-Y1.18-10-11,deleted,0.5,
app-Y1.18-10-11,subst,0.5,
app-Y1.18-11-11,deleted,0.5,
app-Y1.18-13-13,deleted,0.5,
app-Y1.18-13-13,subst,0.5,
app-Y1.18-17-17,deleted,0.5,
app-Y1.18-17-17,subst,0.5,
app-Y1.18-20-20,deleted,0.5,
app-Y1.18-20-20,subst,0.5,
app-Y1.19-2-2,deleted,0.5,
app-Y1.19-2-2,subst,0.5,
app-Y1.19-2-3,deleted,0.5,
app-Y1.19-2-3,subst,0.5,
app-Y1.19-3-3,deleted,0.5,
app-Y1.19-3-3,subst,0.5,
app-Y1.19-5-5,deleted,0.5,
app-Y1.19-5-5,aiβiϑīranąm→aiβiϑūranąm,0.5,
app-Y1.19-5-5,subst,0.5,
app-Y1.19-5-5,subst,0.5,
app-Y1.19-7-7,deleted,0.5,
app-Y1.19-7-7,frauuašanąm→frauuaṣ̌inąm,0.5,
app-Y1.19-7-7,subst,0.5,
app-Y1.19-9-9,deleted,0.5,
app-Y1.19-9-9,frauuašanąm→frauuaṣ̌inąm,0.5,
app-Y1.19-10-10,deleted,0.5,
app-Y1.19-10-10,subst,0.5,
app-Y1.19-11-12,deleted,0.5,
app-Y1.19-11-12,urune.→urunō.,0.5,
app-Y1.19-12-12,deleted,0.5,
app-Y1.20-3-3,deleted,0.5,
app-Y1.20-4-4,deleted,0.5,
app-Y1.20-4-4,subst,0.5,
app-Y1.20-8-8,deleted,0.5,
app-Y1.20-9-9,deleted,0.5,
app-Y1.20-9-9,subst,0.5,
app-Y1.20-10-10,deleted,0.5,
app-Y1.20-10-10,subst,0.5,
app-Y1.20-11-11,gaiϑiiaēibiiascā→gaēϑiiaēibiiascā,0.5,
app-Y1.20-11-11,deleted,0.5,
app-Y1.20-11-11,subst,0.5,
app-Y1.20-13-15,deleted,0.5,
app-Y1.20-13-15,subst,0.5,
app-Y1.20-14-14,deleted,0.5,
app-Y1.20-14-15,deleted,0.5,
app-Y1.20-14-15,subst,0.5,
app-Y1.21-0-0,deleted,0.5,
app-Y1.21-0-0,subst,0.5,
app-Y1.21-0-1,deleted,0.5,
app-Y1.21-0-1,subst,0.5,
app-Y1.21-3-4,deleted,0.5,
app-Y1.21-3-4,subst,0.5,
app-Y1.21-3-5,deleted,0.5,
app-Y1.21-3-5,subst,0.5,
app-Y1.21-4-4,deleted,0.5,
app-Y1.21-4-4,subst,0.5,
app-Y1.21-4-5,deleted,0.5,
app-Y1.21-4-5,subst,0.5,
app-Y1.21-7-7,deleted,0.5,
app-Y1.21-7-7,subst,0.5,
app-Y1.21-7-7,subst,0.5,
app-Y1.21-9-9,deleted,0.5,
app-Y1.21-9-9,aṣ̌aōm→aṣ̌āum,0.5,
app-Y1.21-11-11,deleted,0.5,
app-Y1.21-11-11,subst,0.5,
app-Y1.21-11-12,deleted,0.5,
app-Y1.21-11-12,subst,0.5,
app-Y1.21-11-13,deleted,0.5,
app-Y1.21-11-13,subst,0.5,
app-Y1.21-15-17,subst,0.5,
app-Y1.21-15-17,deleted,0.5,
app-Y1.21-15-17,subst,0.5,
app-Y1.21-15-18,deleted,0.5,
app-Y1.21-15-18,subst,0.5,
app-Y1.21-17-17,deleted,0.5,
app-Y1.21-20-20,deleted,0.5,
app-Y1.21-20-20,subst,0.5,
app-Y1.21-24-24,deleted,0.5,
app-Y1.21-24-24,subst,0.5,
app-Y1.22-2-2,dəduuaēša→diduuaēša,0.5,
app-Y1.22-2-2,deleted,0.5,
app-Y1.22-2-2,subst,0.5,
app-Y1.22-8-8,deleted,0.5,
app-Y1.22-8-8,subst,0.5,
app-Y1.22-13-13,deleted,0.5,
app-Y1.22-13-13,subst,0.5,
app-Y1.22-14-15,deleted,0.5,
app-Y1.22-14-15,subst,0.5,
app-Y1.22-15-16,deleted,0.5,
app-Y1.22-15-16,subst,0.5,
app-Y1.22-18-18,deleted,0.5,
app-Y1.22-18-18,nə̄→nī,0.5,
app-Y1.22-18-20,deleted,0.5,
app-Y1.22-18-20,subst,0.5,
app-Y1.22-22-22,deleted,0.5,
app-Y1.22-22-22,subst,0.5,
app-Y1.22-23-23,subst,0.5,
app-Y1.22-23-23,deleted,0.5,
app-Y1.22-23-23,subst,0.5,
app-Y1.22-23-24,deleted,0.5,
app-Y1.22-23-24,subst,0.5,
app-Y1.22-27-27,deleted,0.5,
app-Y1.22-27-27,subst,0.5,
app-Y1.23-2-3,deleted,0.5,
app-Y1.23-2-3,subst,0.5,
app-Y1.23-3-3,deleted,0.5,
app-Y1.23-3-3,aṣ̌aōm→aṣ̌āum,0.5,
app-Y1.23-7-8,deleted,0.5,
app-Y1.23-7-8,subst,0.5,
app-Y1.23-8-8,subst,0.5,
app-Y1.23-8-8,deleted,0.5,
app-Y1.23-8-8,subst,0.5,
app-Y1.23-8-8,subst,0.5,
app-Y1.23-13-14,deleted,0.5,
app-Y1.23-13-14,subst,0.5,
app-Y1.23-14-14,deleted,0.5,
app-Y1.23-14-14,subst,0.5,
app-Y1.23-17-23,deleted,0.5,
app-Y1.23-17-23,subst,0.5,
app-Y1.23-20-20,deleted,0.5,
app-Y1.23-20-20,subst,0.5,
app-Y1.23-21-21,deleted,0.5,
app-Y1.23-21-21,subst,0.5,
app-Y1.23-24-25,deleted,0.5,
app-Y1.23-24-25,nə̄.→nī.,0.5,
app-Y1.23-25-25,deleted,0.5,
app-Y1.23-25-25,subst,0.5,
app-Y1.23-26-26,deleted,0.5,
app-Y1.23-26-26,vaēδaiiema→vaēδaiiemi,0.5,
app-Y1.23-26-27,deleted,0.5,
app-Y1.23-26-27,subst,0.5,
app-Y1.23-28-29,deleted,0.5,
app-Y1.23-28-29,subst,0.5,
app-Y1.23-29-30,subst,0.5,
app-Y1.23-29-30,deleted,0.5,
app-Y1.23-29-30,subst,0.5,
app-Y1.23-30-31,deleted,0.5,
app-Y1.23-30-31,subst,0.5,
app-Y1.23-33-33,subst,0.5,
app-Y1.23-33-33,deleted,0.5,
