app_id,wit,lem,rdg,leading_punct_added,trailing_punct_added,cv_tail_absorbed
apparatus_multi_Y9_10mss.v3__app-Y9.1c-2-3,#ms0060,zaraϑuštrō.,zaraϑuštraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0008,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0015,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0060,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0083,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0088,ahi.,ahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0400,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.1c-5-6,#ms0410,ahi.,ahī.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2a-1-2,#ms0083,mē.,mē.aē.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2a-1-2,#ms0088,mē.,.mē.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2a-3-4,#ms0060,paitiiaōxta.,paiti.aō,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0005,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0006,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0008,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0060,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0083,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0088,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-1-2,#ms0410,aɱi.,ahmi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2b-2-3,#ms0006,zaraϑuštra.,zara ϑuštrō,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0005,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0006,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0008,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0015,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-1-2,#ms0060,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-5-6,#ms0005,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-5-6,#ms0006,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-5-6,#ms0008,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-5-6,#ms0015,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-5-6,#ms0060,mąm.,.mąm.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2c-6-7,#ms0015,hunuuaŋᵛha.,hanauuaŋhe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-0-1,#ms0060,auui.,aōi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-0-1,#ms0083,auui.,aōi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-0-1,#ms0410,auui.,auuiδi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-2-3,#ms0005,staōmaine.,staōmaini.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-2-3,#ms0006,staōmaine.,staōmaińi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-2-3,#ms0088,staōmaine.,staōmaińi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-2-3,#ms0400,staōmaine.,spətama.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-3-4,#ms0006,stūiδi.,staōmaińi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-3-4,#ms0008,stūiδi.,stīiδe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-3-4,#ms0015,stūiδi.,stīiδe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-3-4,#ms0083,stūiδi.,stīiδa.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-3-4,#ms0088,stūiδi.,stīiδe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-4-5,#ms0400,yaϑa.,yāsaŋha.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.2d-6-7,#ms0083,aparacit̰.,.aparacit̰.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.2d-8-9,#ms0006,stauuąn.,.stauuąn.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.3a-0-1,#ms0008,zōt,ōxta.,0,1,1
apparatus_multi_Y9_10mss.v3__app-Y9.3a-2-3,#ms0015,aōxta.,aōxtō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3a-3-4,#ms0060,zaraϑuštrō.,zaraϑuštraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3a-5-6,#ms0006,haōmāi.,haōmā̊i.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.3b-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-0-1,#ms0005,vīuuaŋᵛhā̊.,vīuuaŋhā.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-0-1,#ms0060,vīuuaŋᵛhā̊.,və̄uuaŋhā.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-2-3,#ms0060,paōiriiō.,paōiriiaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-7-8,#ms0410,hā.,hmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-9-10,#ms0410,aṣ̌iš.,maṣ̌iiō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-10-11,#ms0410,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4b-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4c-2-3,#ms0060,puϑrō.,puϑraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4c-2-3,#ms0400,puϑrō.,puϑra.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-2-3,#ms0008,aiŋ́he.,aŋ́hē.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-2-3,#ms0015,aiŋ́he.,aŋhē.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-3-4,#ms0410,xšaϑrāδa.,xšaϑrāt̰a.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-5-6,#ms0005,pasu.,pasō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-5-6,#ms0008,pasu.,pasā,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-5-6,#ms0015,pasu.,pasuuī,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-5-6,#ms0060,pasu.,pasō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-5-6,#ms0083,pasu.,.pasu.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.4e-6-7,#ms0083,vīra.,..vīra.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.4e-8-9,#ms0005,āpa.,āpe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-8-9,#ms0015,āpa.,āpe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.4e-9-10,#ms0008,uruuaire.,uruuairi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5a-1-2,#ms0005,xšaϑre.,xšaϑrahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5a-1-2,#ms0060,xšaϑre.,xšaϑrahe.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5a-1-2,#ms0400,xšaϑre.,xšaϑra.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5a-1-2,#ms0410,xšaϑre.,xšaϑra.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5b-1-2,#ms0006,zauruua.,zauruuā̊,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5b-1-2,#ms0008,zauruua.,zauruuā̊,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5b-2-3,#ms0410,ā̊ŋha.,ā̊ŋhā.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-1-2,#ms0008,fracarōiϑe.,fracaraōite.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-1-2,#ms0015,fracarōiϑe.,fracaraōite.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-1-2,#ms0060,fracarōiϑe.,fracaraōiϑi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-2-3,#ms0005,pita.,piϑa.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-2-3,#ms0008,pita.,paiti.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-2-3,#ms0015,pita.,paiti.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-2-3,#ms0400,pita.,paiti.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-2-3,#ms0410,pita.,paiti.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-4-5,#ms0005,raōδaēšuua.,raōδaēšuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-5-6,#ms0006,katarascit̰.,katarasca.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5c-5-6,#ms0015,katarascit̰.,katarasca.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5d-0-1,#ms0005,yauuata.,yauuaϑa.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.5d-5-6,#ms0060,puϑrō.,puϑraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-3-4,#ms0088,maṣ̌iiō.,.maṣ̌iiō.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0008,ərənāuui.,ərənāuue,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-10-11,#ms0400,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.6a-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-3-4,#ms0015,maṣ̌iiō.,maš́iiaō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-9-10,#ms0015,aṣ̌iš.,.aṣ̌iš.,1,0,0
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0005,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-10-11,#ms0400,ərənāuui.,ərənāuua.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0015,aɱāi.,ahmāi,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0400,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.7b-12-13,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8a-0-1,#ms0400,yō.,ẏō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8a-0-1,#ms0410,yō.,ẏō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-5-6,#ms0060,aŋhrō.,aŋraō.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0088,auui.,aōi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0400,auui.,aoi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.8c-7-8,#ms0410,auui.,aoi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0088,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-8-9,#ms0410,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0006,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0008,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0015,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0060,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0083,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-10-11,#ms0088,ərənāuui.,ərənāuue.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0005,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0006,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0008,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0015,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0060,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0083,aɱāi.,ahmāi.,0,0,1
apparatus_multi_Y9_10mss.v3__app-Y9.9a-12-13,#ms0088,aɱāi.,ahmāi.,0,0,1
