xml_id,canon_index,our_index,canon_word,our_word,relation,matched
Y0.6,0,,yašt,,delete,False
Y0.6,1,,būn,,delete,False
Y0.6,2,0,fərastuiiē.,frastuiiē.,substitution,True
Y0.6,3,1,humatōibiiascā.,humatōibiiascā.,equal,True
Y0.6,4,2,hūxtōibiiascā.,hīxtōibiiascā.,substitution,True
Y0.6,5,3,huuarštōibiiascā.,huuarəštōibiiscā.,substitution,True
Y0.6,6,4,mąϑβōibiiascā.,mąϑβōibiiascā.,equal,True
Y0.6,7,5,vaxəδβōibiiascā.,vaxəδβōibiiascā.,equal,True
Y0.6,8,6,varštuuōibiiascā.,varəštuuōibiiascā.,substitution,True
Y0.6,9,7,aibī.gairiiā.,aibī.gairiiā.,equal,True
Y0.6,10,8,daiϑē.,daiϑī.,substitution,True
Y0.6,11,9,vīspā.,vīspā.,equal,True
Y0.6,12,10,humatācā.,humatācā.,equal,True
Y0.6,13,11,hūxtācā.,hīxtācā.,substitution,True
Y0.6,14,12,huuarštācā.,huuarštācā.,equal,True
Y0.6,15,13,paitī.riciiā.,paitirəciiā.,substitution,True
Y0.6,16,14,daiϑē.,diiϑə̄.,substitution,True
Y0.6,17,15,vīspā.,vīspā.,equal,True
Y0.6,18,16,dušmatācā.,dušmatācā.,equal,True
Y0.6,19,17,dužūxtācā.,dužīxtācā.,substitution,True
Y0.6,20,18,dužuuarštācā.,dužuuarəštācā.,substitution,True
Y0.7,0,0,fərā.,frā.,substitution,True
Y0.7,1,,və̄.,,delete,False
Y0.7,2,1,rāhī.,vīrāhə̄.,substitution,True
Y0.7,3,2,aməṣ̌ā.,aməṣ̌ā.,equal,True
Y0.7,4,3,spəṇtā.,spəṇtā.,equal,True
Y0.7,5,4,yasnəmcā.,yasnəmcā.,equal,True
Y0.7,6,5,vaɱəmcā.,vahməmcā.,substitution,True
Y0.7,7,6,fərā.,pərā.,substitution,True
Y0.7,8,7,manaŋhā.,manaŋhā.,equal,True
Y0.7,9,8,fərā.,frā.,substitution,True
Y0.7,10,9,vacaŋhā.,vacaŋhā.,equal,True
Y0.7,11,10,fərā.,frā.,substitution,True
Y0.7,12,11,š́iiaōϑanā.,š́iiōϑanā.,substitution,True
Y0.7,13,12,fərā.,frā.,substitution,True
Y0.7,14,13,aŋhuiiā.,aŋhā̊.,substitution,True
Y0.7,15,14,fərā.,fərātanuuascīt̰.,many-to-one,True
Y0.7,,14,fərā.tanuuascīt̰.,fərātanuuascīt̰.,many-to-one (merged),True
Y0.7,16,14,tanuuascīt̰.,fərātanuuascīt̰.,many-to-one,True
Y0.7,17,15,xᵛax́iiā̊.,xᵛax́iiā̊.,equal,True
Y0.7,18,16,uštanəm.,uštanəm.,equal,True
Y0.8,0,0,staōmī.,staōmī.,equal,True
Y0.8,1,,aṣ̌əm.,,delete,False
Y0.9,0,0,aṣ̌əm.,aṣ̌əm.,equal,True
Y0.9,1,1,vohū.,vohī.,substitution,True
Y0.9,2,,vahištəm.,,delete,False
Y0.9,3,,astī.,,delete,False
Y0.9,4,,uštā.,,delete,False
Y0.9,5,,astī.,,delete,False
Y0.9,6,,uštā.,,delete,False
Y0.9,7,,aɱāi.,,delete,False
Y0.9,8,,hiiat̰.,,delete,False
Y0.9,9,,aṣ̌āi.,,delete,False
Y0.9,10,,vahištāi.,,delete,False
Y0.9,11,,aṣ̌əm.,,delete,False
Y0.10,0,0,frauuarāne.,frauuarāne.,equal,True
Y0.10,1,1,mazdaiiasnō.,mazdaiiasnō.,equal,True
Y0.10,2,2,zaraϑuštriš.,zaraϑuštrəš.,substitution,True
Y0.10,3,3,vīdaēuuō.,vīdaēuuō.,equal,True
Y0.10,4,4,ahura.t̰kaēšō.,ahura.t̰kaēšō.,equal,True
Y0.10,5,5,hāuuanə̄e.,hāuuanə̄e.,equal,True
Y0.10,6,6,aṣ̌aōne.,aṣ̌aōne.,equal,True
Y0.10,7,7,aṣ̌ahe.,aṣ̌ahe.,equal,True
Y0.10,8,8,raϑβe.,raϑβe.,equal,True
Y0.10,9,9,yasnāica.,yasnāica.,equal,True
Y0.10,10,10,vaɱāica.,vahmāica.,substitution,True
Y0.10,11,11,xšnaōϑrāica.,xšnaōϑrāica.,equal,True
Y0.10,12,12,frasastaiiaēca.,frasastaiiaēca.,equal,True
Y0.10,13,13,sāuuaŋhə̄e.,sāuuaŋhə̄e.,equal,True
Y0.10,14,14,vīsiiāica.,vīsiiāica.,equal,True
Y0.10,15,15,aṣ̌aōne.,aṣ̌aōne.,equal,True
Y0.10,16,16,aṣ̌ahe.,aṣ̌ahe.,equal,True
Y0.10,17,17,raϑβe.,raϑβe.,equal,True
Y0.10,18,,yasnāica.,,delete,False
Y0.10,19,,vaɱāica.,,delete,False
Y0.10,20,,xšnaōϑrāica.,,delete,False
Y0.10,21,,frasastaiiaēca.,,delete,False
Y0.10,22,18,raϑβąm.,raϑβąm.,equal,True
Y0.10,23,19,aiiaranąmca.,aiiaranąmca.,equal,True
Y0.10,24,20,asńiianąmca.,asniianąmca.,substitution,True
Y0.10,25,21,māhiianąmca.,māhiianąmca.,equal,True
Y0.10,26,22,yāiriianąmca.,yāiriianąmca.,equal,True
Y0.10,27,23,sarəδanąmca.,sarəδanąmca.,equal,True
Y0.10,28,,yasnāica.,,delete,False
Y0.10,29,,vaɱāica.,,delete,False
Y0.10,30,,xšnaōϑrāica.,,delete,False
Y0.10,31,,frasastaiiaēca.,,delete,False
Y0.10,32,24,ahurahe.,ahurahe.,equal,True
Y0.10,33,25,mazdā̊.,mazdā̊.,equal,True
Y0.10,34,26,raēuuatō.,raēuuatō.,equal,True
Y0.10,35,27,xᵛarənaŋᵛhatō.,xᵛarənaŋᵛhatō.,equal,True
Y0.10,36,28,aməṣ̌anąm.,aməṣ̌anąm.,equal,True
Y0.10,37,29,spəṇtanąm.,spəṇtanąm.,equal,True
Y0.10,38,30,miϑrahe.,miϑrahe.,equal,True
Y0.10,39,31,vouru.gaōiiaōtōiš.,vouru.gaōiiaōitōiš.,substitution,True
Y0.10,40,32,rāmanasca.,rāmanasca.,equal,True
Y0.10,41,33,xᵛāstrahe.,xᵛāstrahe.,equal,True
Y0.10,42,34,huuarəxšaētahe.,huuarəxšaētahe.,equal,True
Y0.10,43,35,aməṣ̌ahe.,aməṣ̌ahe.,equal,True
Y0.10,44,36,raēuuahe.,raēuuahe.,equal,True
Y0.10,45,37,auruuat̰.aspahe.,auruuat̰.aspahe.,equal,True
Y0.10,46,38,vaiiaōš.,vaiiaōš.,equal,True
Y0.10,47,39,uparō.kairiiehe.,uparō.kairiiehe.,equal,True
Y0.10,48,40,taraδātō.,taraδātō.,equal,True
Y0.10,49,41,ańiiāiš.,ańiiāiš.,equal,True
Y0.10,50,42,dāmąn.,dāmąn.,equal,True
Y0.10,51,43,aētat̰.,aētat̰.,equal,True
Y0.10,52,44,tē.,tē.,equal,True
Y0.10,53,45,vaiiō.,vaiiō.,equal,True
Y0.10,54,46,yat̰.,yat̰.,equal,True
Y0.10,55,47,tē.,tē.,equal,True
Y0.10,56,48,asti.,asti.,equal,True
Y0.10,57,49,spəṇtō.maińiiaōm.,spəṇtō.maińiiāum.,substitution,True
Y0.10,58,50,razištaiiā̊.,razištaiiā̊.,equal,True
Y0.10,59,51,cistaiiā̊.,cistaiiā̊.,equal,True
Y0.10,60,52,mazdaδātaiiā̊.,mazdaδātaiiā̊.,equal,True
Y0.10,61,53,aṣ̌aōńiiā̊.,aṣ̌aōnaiiā̊.,substitution,True
Y0.10,62,54,daēnaiiā̊.,daēnaiiā̊.,equal,True
Y0.10,63,55,vaŋhuiiā̊.,vaŋhuiiā̊.,equal,True
Y0.10,64,56,māzdaiiasnōiš.,māzdaiiasnōiš.,equal,True
Y0.10,65,57,mąϑrahe.,mąϑrahe.,equal,True
Y0.10,66,58,spəṇtahe.,spəṇtahe.,equal,True
Y0.10,67,,aṣ̌aōnō.,,delete,False
Y0.10,68,,vərəziiaŋᵛhahe.,,delete,False
Y0.10,69,59,dātahe.,spəṇtahe.,substitution,True
Y0.10,70,,vīdaēuuahe.,,delete,False
Y0.10,71,62,dātahe.,dātahe.,equal,True
Y0.10,72,,zaraϑuštrōiš.,,delete,False
Y0.10,73,,darəγaiiā̊.,,delete,False
Y0.10,74,,upaiianaiiā̊.,,delete,False
Y0.10,75,,daēnaiiā̊.,,delete,False
Y0.10,76,,vaŋhuiiā̊.,,delete,False
Y0.10,77,,māzdaiiasnōiš.,,delete,False
Y0.10,78,,zrazdātōiš.,,delete,False
Y0.10,79,,mąϑrahe.,,delete,False
Y0.10,80,64,spəṇtahe.,dātahe.,substitution,True
Y0.10,81,,uši.darəϑrəm.,,delete,False
Y0.10,82,66,daēnaiiā̊.,darəγaiiā̊.,substitution,True
Y0.10,83,70,māzdaiiasnōiš.,māzdaiiasnōiš.,equal,True
Y0.10,84,,vaēδīm.,,delete,False
Y0.10,85,72,mąϑrahe.,mąϑrahe.,equal,True
Y0.10,86,73,spəṇtahe.,spəṇtahe.,equal,True
Y0.10,87,,āsnahe.,,delete,False
Y0.10,88,,xraϑβō.,,delete,False
Y0.10,89,,mazdaδātahe.,,delete,False
Y0.10,90,,gaōšō.srūtahe.,,delete,False
Y0.10,91,,xraϑβō.,,delete,False
Y0.10,92,,mazdaδātahe.,,delete,False
Y0.10,93,,āϑrō.,,delete,False
Y0.10,94,78,ahurahe.,mąϑrahe.,substitution,True
Y0.10,95,82,mazdā̊.,mazdaδātahe.,substitution,True
Y0.10,96,,puϑra.,,delete,False
Y0.10,97,,tauua.,,delete,False
Y0.10,98,,ātarš.,,delete,False
Y0.10,99,,puϑra.,,delete,False
Y0.10,100,,ahurahe.,,delete,False
Y0.10,101,85,mazdā̊.,mazdaδātahe.,substitution,True
Y0.10,102,,mat̰.,,delete,False
Y0.10,103,,vīspaēibiiō.,,delete,False
Y0.10,104,,ātərəbiiō.,,delete,False
Y0.10,105,,garōiš.,,delete,False
Y0.10,106,,uši.darənahe.,,delete,False
Y0.10,107,88,mazdaδātahe.,mazdā̊.,substitution,True
Y0.10,108,,aṣ̌a.xᵛāϑrahe.,,delete,False
Y0.10,109,96,vīspaēšąm.,vīspaēibiiō.,substitution,True
Y0.10,110,103,yazatanąm.,yazatanąm.,equal,True
Y0.10,111,104,aṣ̌aōnąm.,aṣ̌aōnąm.,equal,True
Y0.10,112,105,maińiiauuanąm.,maińiiauuanąm.,equal,True
Y0.10,113,106,gaēϑiianąm.,gaiϑiianąm.,substitution,True
Y0.10,114,107,aṣ̌āunąm.,aṣ̌aōnąm.,substitution,True
Y0.10,115,108,frauuaṣ̌inąm.,frauuašanąm.,substitution,True
Y0.10,116,109,uγranąm.,uγranąm.,equal,True
Y0.10,117,110,aiβiϑūranąm.,aiβiϑīranąm.,substitution,True
Y0.10,118,111,paōiriiō.t̰kaēšanąm.,paōiriiō.t̰kaēšanąm.,equal,True
Y0.10,119,112,frauuaṣ̌inąm.,frauuašanąm.,substitution,True
Y0.10,120,113,nabānazdištanąm.,nabānazdištanąm.,equal,True
Y0.10,121,114,frauuaṣ̌inąm.,frauuašanąm.,substitution,True
Y0.10,122,115,xšnaōϑra.,xšnaōϑra.,equal,True
Y0.10,123,,yasnāica.,,delete,False
Y0.10,124,,vaɱāica.,,delete,False
Y0.10,125,,xšnaōϑrāica.,,delete,False
Y0.10,126,,frasastaiiaēca.,,delete,False
Y0.10,127,,zōd,,delete,False
Y0.10,128,116,yaϑā.,yaϑā.,equal,True
Y0.10,129,,ahū.,,delete,False
Y0.10,130,,vairiiō.,,delete,False
Y0.10,131,,zaōtā.,,delete,False
Y0.10,132,,frā.,,delete,False
Y0.10,133,,mē.,,delete,False
Y0.10,134,,mrūtē.,,delete,False
Y0.10,135,,rāspīg,,delete,False
Y0.10,136,,yaϑā.,,delete,False
Y0.10,137,,ahū.,,delete,False
Y0.10,138,,vairiiō.,,delete,False
Y0.10,139,,yō.,,delete,False
Y0.10,140,,zaōtā.,,delete,False
Y0.10,141,,frā.,,delete,False
Y0.10,142,,mē.,,delete,False
Y0.10,143,,mrūtē.,,delete,False
Y0.10,144,,zōd,,delete,False
Y0.10,145,,aϑā.,,delete,False
Y0.10,146,,ratuš.,,delete,False
Y0.10,147,,aṣ̌āt̰cīt̰.,,delete,False
Y0.10,148,,hacā.,,delete,False
Y0.10,149,,frā.,,delete,False
Y0.10,150,,aṣ̌auuā.,,delete,False
Y0.10,151,,vīδuuā̊.,,delete,False
Y0.10,152,,mraōtū.,,delete,False
Y0.10,,60,,aṣ̌aōnō.,insert,False
Y0.10,,61,,vərəziiaŋhahe.,insert,False
Y0.10,,63,,vīdaēuuahe.,insert,False
Y0.10,,65,,zaraϑuštrōiš.,insert,False
Y0.10,,67,,upaiianaiiā̊.,insert,False
Y0.10,,68,,daēnaiiā̊.,insert,False
Y0.10,,69,,vaŋhuiiā̊.,insert,False
Y0.10,,71,,zarazdātōiš.,insert,False
Y0.10,,74,,uši.darəϑrəm.,insert,False
Y0.10,,75,,daēnaiiā̊.,insert,False
Y0.10,,76,,māzdaiiasnōiš.,insert,False
Y0.10,,77,,vīδīm.,insert,False
Y0.10,,79,,spəṇtahe.,insert,False
Y0.10,,80,,āsnahe.,insert,False
Y0.10,,81,,xraϑβō.,insert,False
Y0.10,,83,,gaōšō.srītahe.,insert,False
Y0.10,,84,,xraϑβō.,insert,False
Y0.10,,86,,āzrō.,insert,False
Y0.10,,87,,ahurahe.,insert,False
Y0.10,,89,,puϑra.,insert,False
Y0.10,,90,,tauua.,insert,False
Y0.10,,91,,ātarš.,insert,False
Y0.10,,92,,puϑra.,insert,False
Y0.10,,93,,ahurahe.,insert,False
Y0.10,,94,,mazdā̊.,insert,False
Y0.10,,95,,mat̰.,insert,False
Y0.10,,97,,ātərəbiiō.,insert,False
Y0.10,,98,,garōiš.,insert,False
Y0.10,,99,,uši.darənahe.,insert,False
Y0.10,,100,,mazdaδātahe.,insert,False
Y0.10,,101,,aṣ̌axᵛāϑrahe.,insert,False
Y0.10,,102,,vīspaēšąm.,insert,False
Y0.11,ERROR,,stanza not found in one of the files,,,
