generated,reference,distance,changes,features_comment,features_documented,address
miiazdəm,miiazdəm,0,,,,"[{'id': 'Y8.2a', 'index': 4}]"
hauruuata,hauruuata,0,,,,"[{'id': 'Y8.2a', 'index': 5}]"
amərətāta,amərətāta,0,,,,"[{'id': 'Y8.2a', 'index': 6}, {'id': 'Y8.2a', 'index': 7}]"
gāuš,gāuš,0,,,,"[{'id': 'Y8.2a', 'index': 8}]"
hudā̊,hudā̊,0,,,,"[{'id': 'Y8.2a', 'index': 9}]"
haōməmca,haōməmca,0,,,,"[{'id': 'Y8.2a', 'index': 10}]"
para,para,0,,,,"[{'id': 'Y8.2a', 'index': 11}]"
haōməmca,haōməmca,0,,,,"[{'id': 'Y8.2a', 'index': 12}]"
aēsmą̇sca,aēsmąsca,1,ą̇ to ą,,False,"[{'id': 'Y8.2a', 'index': 13}]"
baōiδīmca,baōiδīmca,0,,,,"[{'id': 'Y8.2a', 'index': 14}, {'id': 'Y8.2b', 'index': 0}, {'id': 'Y8.2b', 'index': 1}]"
aṣ̌aiianō,aṣ̌aiianō,0,,,,"[{'id': 'Y8.2c', 'index': 0}]"
paitī,paitī,0,,,,"[{'id': 'Y8.2c', 'index': 1}]"
jamiiāt̰,jamiiāt̰,0,,,,"[{'id': 'Y8.2c', 'index': 2}]"
x́arata,xᵛarata,1,x́ to xᵛ,,False,"[{'id': 'Y8.2c', 'index': 3}, {'id': 'Y8.3a', 'index': 0}]"
narō,narō,0,,,,"[{'id': 'Y8.3a', 'index': 1}, {'id': 'Y8.3a', 'index': 2}]"
aētəm,aētəm,0,,,,"[{'id': 'Y8.3a', 'index': 3}]"
miiazdəm,miiazdəm,0,,,,"[{'id': 'Y8.3a', 'index': 4}]"
yō,yō,0,,,,"[{'id': 'Y8.3a', 'index': 5}]"
dəm,dim,1,ə to i,,False,"[{'id': 'Y8.3a', 'index': 6}]"
haŋhāne,haŋhāna,2,e to a,,False,"[{'id': 'Y8.3a', 'index': 7}, {'id': 'Y8.3a', 'index': 8}]"
aṣ̌iāca,aṣ̌āca,1,i inserted,,False,"[{'id': 'Y8.3a', 'index': 9}]"
frərətica,frə̄rətica,1,ə to ə̄,,False,"[{'id': 'Y8.3a', 'index': 10}]"
jasaite,jasaiti,1,e to i,,False,"[{'id': 'Y8.3a', 'index': 11}, {'id': 'Y8.5a', 'index': 0}, {'id': 'Y8.5a', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y8.5a', 'index': 2}, {'id': 'Y8.6AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y8.6AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y8.6AV', 'index': 2}, {'id': 'Y8.6AVF', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y8.6AVF', 'index': 1}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y8.6AVF', 'index': 2}, {'id': 'Y8.7YAV', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y8.7YAV', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y8.7YAV', 'index': 2}]"
vasasca,vasasca,0,,,,"[{'id': 'Y8.7YAV', 'index': 3}, {'id': 'Y8.8a', 'index': 0}, {'id': 'Y8.8a', 'index': 1}]"
tū,tū,0,,,,"[{'id': 'Y8.8a', 'index': 2}]"
ahura,ahura,0,,,,"[{'id': 'Y8.8a', 'index': 3}]"
mazda,mazda,0,,,,"[{'id': 'Y8.8a', 'index': 4}]"
yā̊,yā̊,0,,,,"[{'id': 'Y8.8a', 'index': 5}, {'id': 'Y8.10b', 'index': 0}]"
āhūirəš,āhūiriš,1,ə to i,,False,"[{'id': 'Y8.10b', 'index': 1}]"
zaraϑuštrəš,zaraϑuštriš,1,ə to i,,False,"[{'id': 'Y8.10b', 'index': 2}]"
rauuasca,rauuasca,0,,,,"[{'id': 'Y8.10b', 'index': 3}, {'id': 'Y8.11a', 'index': 0}, {'id': 'Y8.11a', 'index': 1}]"
x́āϑrəmca,xᵛāϑrəmca,1,x́ to xᵛ,,False,"[{'id': 'Y8.11a', 'index': 2}]"
vīspaiiā̊,vīspaiiā̊,0,,,,"[{'id': 'Y8.11a', 'index': 3}, {'id': 'Y8.11b', 'index': 0}]"
druuatō,druuatō,0,,,,"[{'id': 'Y8.11b', 'index': 1}, {'id': 'Y8.11b', 'index': 2}]"
stōiš,stōiš,0,,,,"[{'id': 'Y8.11b', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y8.11b', 'index': 4}, {'id': 'Y8.12AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y8.12AV', 'index': 1}]"
haōmahe,haōmahe,0,,,,"[{'id': 'Y8.12AV', 'index': 2}, {'id': 'Y8.13a', 'index': 0}]"
aṣ̌auuazaŋhō,aṣ̌auuazaŋhō,0,,,,"[{'id': 'Y8.13a', 'index': 1}, {'id': 'Y8.13a', 'index': 2}]"
xšnaōϑra,xšnaōϑra,0,,,,"[{'id': 'Y8.13a', 'index': 3}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y8.13a', 'index': 7}, {'id': 'Y8.13a', 'index': 8}, {'id': 'Y9.0WazGr', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y9.0WazGr', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y9.0WazGr', 'index': 2}]"
zaōta,zaōta,0,,,,"[{'id': 'Y9.0WazGr', 'index': 3}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y9.0WazGr', 'index': 4}, {'id': 'Y9.0WazGrM', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y9.0WazGrM', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y9.0WazGrM', 'index': 2}]"
yō,yō,0,,,,"[{'id': 'Y9.0WazGrM', 'index': 3}]"
zaōta,zaōta,0,,,,"[{'id': 'Y9.0WazGrM', 'index': 4}]"
aϑā,aϑā,0,,,,"[{'id': 'Y9.0WazGrM', 'index': 5}, {'id': 'Y9.0WazGrF', 'index': 0}]"
ratuš,ratuš,0,,,,"[{'id': 'Y9.0WazGrF', 'index': 1}]"
hāuuanīm,hāuuanīm,0,,,,"[{'id': 'Y9.0WazGrF', 'index': 2}, {'id': 'Y9.1a', 'index': 0}]"
ā,ā,0,,,,"[{'id': 'Y9.1a', 'index': 1}]"
ratūm,ratūm,0,,,,"[{'id': 'Y9.1a', 'index': 2}]"
višapą̇m,višapąm,1,ą̇ to ą,,False,"[{'id': 'Y10.1a', 'index': 0}]"
iδa,iδa,0,,,,"[{'id': 'Y10.1a', 'index': 1}, {'id': 'Y10.1a', 'index': 2}]"
patəṇtu,patəṇtu,0,,,,"[{'id': 'Y10.1a', 'index': 3}]"
varəδiiaŋha,varəδaiiaŋᵛha,2,"ii to ai, i deleted, ŋ to ŋᵛ",,False,"[{'id': 'Y10.5a', 'index': 0}]"
mana,mana,0,,,,"[{'id': 'Y10.5a', 'index': 1}, {'id': 'Y10.5a', 'index': 2}]"
vaca,vaca,0,,,,"[{'id': 'Y10.5a', 'index': 3}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5a', 'index': 4}, {'id': 'Y10.5b', 'index': 0}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5b', 'index': 1}]"
varšajīš,varšajīš,0,,,,"[{'id': 'Y10.5b', 'index': 2}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5b', 'index': 3}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5b', 'index': 4}, {'id': 'Y10.5b', 'index': 5}]"
frasparəγə̄,frasparəγə̄,0,,,,"[{'id': 'Y10.5b', 'index': 6}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5b', 'index': 7}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5b', 'index': 8}, {'id': 'Y10.5b', 'index': 9}]"
frauuāxšə̄,frauuāxšə̄,0,,,,"[{'id': 'Y10.5b', 'index': 10}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5b', 'index': 11}, {'id': 'Y10.5c', 'index': 0}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5c', 'index': 1}, {'id': 'Y10.5c', 'index': 2}]"
varšajīš,varšajīš,0,,,,"[{'id': 'Y10.5c', 'index': 3}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5c', 'index': 4}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5c', 'index': 5}]"
fraspərəγə̄,frasparəγə̄,1,ə to a,,False,"[{'id': 'Y10.5c', 'index': 6}]"
vīspə̄sca,vīspə̄sca,0,,,,"[{'id': 'Y10.5c', 'index': 7}]"
paiti,paiti,0,,,,"[{'id': 'Y10.5c', 'index': 8}]"
frauuāxšə̄,frauuāxšə̄,0,,,,"[{'id': 'Y10.5c', 'index': 9}]"
haōmō,haōmō,0,,,,"[{'id': 'Y10.5c', 'index': 10}, {'id': 'Y10.6a', 'index': 0}]"
uxšaiieiti,uxšiieiti,1,"ai to ii, i inserted",,False,"[{'id': 'Y10.6a', 'index': 1}, {'id': 'Y10.6a', 'index': 2}]"
yeŋ́hē,yeŋ́hē,0,,,,"[{'id': 'Y10.6a', 'index': 3}, {'id': 'Y10.22YeH', 'index': 0}]"
hātą̇m,hātąm,1,ą̇ to ą,,False,"[{'id': 'Y10.22YeH', 'index': 1}]"
ϑrāiiō,ϑrāiiō,0,,,,"[{'id': 'Y10.22YeH', 'index': 2}, {'id': 'Y11.1a', 'index': 0}]"
haiϑim,haiϑīm,1,i to ī,,False,"[{'id': 'Y11.1a', 'index': 1}, {'id': 'Y11.1a', 'index': 2}]"
pairiš,pairiš,0,,,,"[{'id': 'Y11.1a', 'index': 3}, {'id': 'Y11.7c', 'index': 0}]"
x́axtəm,xᵛaxtəm,1,x́ to xᵛ,,False,"[{'id': 'Y11.7c', 'index': 1}]"
aiiaŋhahe,aiiaŋhahe,0,,,,"[{'id': 'Y11.7c', 'index': 2}, {'id': 'Y11.7c', 'index': 3}]"
āat̰,āat̰,0,,,,"[{'id': 'Y11.7c', 'index': 4}, {'id': 'Y11.8a', 'index': 0}]"
aōxta,aōxta,0,,,,"[{'id': 'Y11.8a', 'index': 1}]"
zaraϑuštrō,zaraϑuštrō,0,,,,"[{'id': 'Y11.8a', 'index': 2}, {'id': 'Y11.8a', 'index': 3}]"
nəmō,nəmō,0,,,,"[{'id': 'Y11.8a', 'index': 4}]"
haōmāi,haōmāi,0,,,,"[{'id': 'Y11.8a', 'index': 5}]"
mazdaδātāi,mazdaδātāi,0,,,,"[{'id': 'Y11.8a', 'index': 6}]"
vaŋhuš,vaŋhuš,0,,,,"[{'id': 'Y11.8a', 'index': 7}]"
haōmō,haōmō,0,,,,"[{'id': 'Y11.8a', 'index': 8}]"
mazdaδātō,mazdaδātō,0,,,,"[{'id': 'Y11.8a', 'index': 9}]"
nəmō,nəmō,0,,,,"[{'id': 'Y11.8a', 'index': 10}, {'id': 'Y11.8a', 'index': 11}]"
haōmāi,haōmāi,0,,,,"[{'id': 'Y11.8a', 'index': 12}]"
yō,yō,0,,,,"[{'id': 'Y11.8a', 'index': 13}, {'id': 'Y11.9a', 'index': 0}]"
nō,nō,0,,,,"[{'id': 'Y11.9a', 'index': 1}]"
aēuuō,aēuuō,0,,,,"[{'id': 'Y11.9a', 'index': 2}]"
at̰,at̰,0,,,,"[{'id': 'Y11.9a', 'index': 3}]"
tē,tē,0,,,,"[{'id': 'Y11.9a', 'index': 4}]"
uiie,uiiē,1,e to ē,,False,"[{'id': 'Y11.9a', 'index': 5}]"
ϑrāiiōidiiāi,ϑrāiiōidiiāi,0,,,,"[{'id': 'Y11.9a', 'index': 6}, {'id': 'Y11.9a', 'index': 7}]"
tūrahe,tūrahe,0,,,,"[{'id': 'Y11.9a', 'index': 8}]"
məṇdāidiiāi,məṇdāidiiāi,0,,,,"[{'id': 'Y11.9a', 'index': 9}]"
xšuuīdəm,xšuuīdəm,0,,,,"[{'id': 'Y11.9a', 'index': 10}]"
haptāždiiāi,haptāždiiāi,0,,,,"[{'id': 'Y11.9a', 'index': 11}]"
nauua,nauua,0,,,,"[{'id': 'Y11.9a', 'index': 12}]"
dasəmē,dasəmē,0,,,,"[{'id': 'Y11.9a', 'index': 13}]"
yōi,yōi,0,,,,"[{'id': 'Y11.9a', 'index': 14}]"
və̄,və̄,0,,,,"[{'id': 'Y11.9a', 'index': 15}]"
yaēϑma,yaēϑma,0,,,,"[{'id': 'Y11.9a', 'index': 16}]"
pairi,pairi,0,,,,"[{'id': 'Y11.9a', 'index': 17}, {'id': 'Y11.10a', 'index': 0}]"
tē,tē,0,,,,"[{'id': 'Y11.10a', 'index': 1}]"
haōma,haōma,0,,,,"[{'id': 'Y11.10a', 'index': 2}]"
aṣ̌āum,aṣ̌āum,0,,,,"[{'id': 'Y11.10a', 'index': 3}]"
aṣ̌auuāzō,aṣ̌auuāzō,0,,,,"[{'id': 'Y11.10a', 'index': 4}, {'id': 'Y11.10a', 'index': 5}]"
vīspō,vīspō,0,,,,"[{'id': 'Y11.10a', 'index': 6}, {'id': 'Y11.10c', 'index': 0}]"
x́āϑrəm,xᵛāϑrəm,1,x́ to xᵛ,,False,"[{'id': 'Y11.10c', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.10c', 'index': 2}, {'id': 'Y11.11AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y11.11AV', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.12AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y11.12AV', 'index': 1}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y11.12AV', 'index': 2}, {'id': 'Y11.13YAV', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y11.13YAV', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y11.13YAV', 'index': 2}]"
vasasca,vasasca,0,,,,"[{'id': 'Y11.13YAV', 'index': 3}, {'id': 'Y11.14a', 'index': 0}]"
tū,tū,0,,,,"[{'id': 'Y11.14a', 'index': 1}]"
ahura,ahura,0,,,,"[{'id': 'Y11.14a', 'index': 2}]"
mazda,mazda,0,,,,"[{'id': 'Y11.14a', 'index': 3}]"
vīspaiiā̊,vīspaiiā̊,0,,,,"[{'id': 'Y11.14a', 'index': 4}, {'id': 'Y11.17b', 'index': 0}, {'id': 'Y11.17b', 'index': 1}]"
druuatō,druuatō,0,,,,"[{'id': 'Y11.17b', 'index': 2}]"
stōiš,stōiš,0,,,,"[{'id': 'Y11.17b', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y11.17b', 'index': 4}, {'id': 'Y12.0AV', 'index': 0}]"
